symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
AB,AllianceBernstein Holding L.P.  Units,$33.03,0.56,1.725%,206943,3776521086.00,United States,,Investment Managers,Finance,/market-activity/stocks/ab
ABAT,American Battery Technology Company Common Stock,$1.34,-0.02,-1.471%,349134,69525808.00,United States,,Metal Mining,Basic Materials,/market-activity/stocks/abat
ABBV,AbbVie Inc. Common Stock,$166.41,1.75,1.063%,5532360,293958831671.00,United States,2012,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv
ABCB,Ameris Bancorp Common Stock,$46.28,1.49,3.327%,295641,3194716129.00,United States,1994,Major Banks,Finance,/market-activity/stocks/abcb
ABCL,AbCellera Biologics Inc. Common Shares,$3.87,-0.04,-1.023%,977419,1119807205.00,Canada,2020,Pharmaceuticals and Biotechnology,Health Care,/market-activity/stocks/abcl
ABEO,Abeona Therapeutics Inc. Common Stock,$7.57,0.04,0.531%,386264,207077630.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abeo
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.29,0.01,0.439%,13709023,36076278220.00,Brazil,2013,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$215.12,3.63,1.716%,157031,4389334510.00,United States,2002,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/abg
ABIO,ARCA biopharma Inc. Common Stock,$3.40,0.15,4.615%,922940,49303886.00,United States,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/abio
ABL,Abacus Life Inc. Class A Common Stock,$11.84,0.0,0.00%,12987,754145935.00,United States,2020,Investment Managers,Finance,/market-activity/stocks/abl
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.35,-0.01,-0.039%,1568,1614662115.00,United States,,,,/market-activity/stocks/ablll
ABLLW,Abacus Life Inc. Warrant,$0.5017,0.0217,4.521%,9184,31955660.00,United States,2020,Investment Managers,Finance,/market-activity/stocks/abllw
ABLV,Able View Global Inc. Class B Ordinary Shares,$1.61,-0.075,-4.451%,74116,68198365.00,China,,,,/market-activity/stocks/ablv
ABLVW,Able View Global Inc. Warrant,$0.04,0.0,0.00%,277,1694369.00,China,,,,/market-activity/stocks/ablvw
ABM,ABM Industries Incorporated Common Stock,$44.32,0.52,1.187%,416078,2805078571.00,United States,,Diversified Commercial Services,Finance,/market-activity/stocks/abm
ABNB,Airbnb Inc. Class A Common Stock,$155.01,-5.09,-3.179%,3903722,100301494342.00,United States,2020,Hotels/Resorts,Consumer Discretionary,/market-activity/stocks/abnb
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$3.15,-0.01,-0.316%,307602,189251301.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abos
ABR,Arbor Realty Trust Common Stock,$12.62,0.14,1.122%,3148036,2378936432.00,United States,2004,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/abr
ABSI,Absci Corporation Common Stock,$4.77,-0.2,-4.024%,1258326,537982428.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/absi
ABT,Abbott Laboratories Common Stock,$107.28,2.01,1.909%,10521570,186150570524.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt
ABTS,Abits Group Inc Ordinary Shares,$0.7706,0.0131,1.729%,19044,14904582.00,China,,Computer Software: Programming Data Processing,Technology,/market-activity/stocks/abts
ABUS,Arbutus Biopharma Corporation Common Stock,$2.72,-0.01,-0.366%,931457,488218781.00,Canada,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abus
ABVC,ABVC BioPharma Inc. Common Stock,$0.9901,-0.0599,-5.705%,168667,10455873.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abvc
ABVX,Abivax SA American Depositary Shares,$15.31,0.2,1.324%,9006,963613804.00,France,2023,,,/market-activity/stocks/abvx
AC,Associated Capital Group Inc. Common Stock,$32.28,-0.25,-0.769%,1146,693799721.00,United States,2015,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$75.88,0.1,0.132%,464664,3684905731.00,United States,2018,Metal Fabrications,Industrials,/market-activity/stocks/aca
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.77,0.0,0.00%,86,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acab
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,$0.08,0.015,23.077%,121005,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acabw
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$11.21,0.0,0.00%,1,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acac
ACACU,Acri Capital Acquisition Corporation Unit,$11.60,-0.18,-1.528%,100,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acacu
ACACW,Acri Capital Acquisition Corporation Warrant,$0.065,0.0,0.00%,200,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acacw
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$16.82,-0.25,-1.465%,3628011,2771456983.00,United States,1985,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acad
ACB,Aurora Cannabis Inc. Common Shares,$6.46,-0.075,-1.148%,6202328,352324369.00,Canada,, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/acb
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$12.10,-0.06,-0.493%,805,45853519.00,Hong Kong,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acba
ACCD,Accolade Inc. Common Stock,$9.13,-0.04,-0.436%,849594,706731452.00,United States,2020,Business Services,Consumer Discretionary,/market-activity/stocks/accd
ACCO,Acco Brands Corporation Common Stock,$4.92,0.06,1.235%,659816,467047334.00,United States,,Publishing,Consumer Discretionary,/market-activity/stocks/acco
ACDC,ProFrac Holding Corp. Class A Common Stock,$8.11,0.18,2.27%,1506909,1294308897.00,United States,2022,Oilfield Services/Equipment,Energy,/market-activity/stocks/acdc
ACEL,Accel Entertainment Inc. ,$11.37,0.11,0.977%,203744,952845727.00,United States,2017,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/acel
ACET,Adicet Bio Inc. Common Stock ,$1.95,-0.075,-3.704%,727750,160200269.00,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acet
ACGL,Arch Capital Group Ltd. Common Stock,$92.93,1.54,1.685%,1527610,34769872410.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgl
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$19.26,0.0248,0.129%,16550,7206152401.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$22.70,0.13,0.576%,6123,8493232581.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acglo
ACHC,Acadia Healthcare Company Inc. Common Stock,$70.16,-0.12,-0.171%,399420,6475001011.00,United States,,Medical Specialities,Health Care,/market-activity/stocks/achc
ACHL,Achilles Therapeutics plc American Depositary Shares,$0.7829,-0.0171,-2.138%,201751,32163840.00,United Kingdom,2021,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/achl
ACHR,Archer Aviation Inc. Class A Common Stock,$3.65,-0.13,-3.439%,3484748,1133597969.00,United States,2020,Aerospace,Industrials,/market-activity/stocks/achr
ACHV,Achieve Life Sciences Inc. Common Shares,$4.51,-0.06,-1.313%,35382,154476119.00,United States,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/achv
ACI,Albertsons Companies Inc. Class A Common Stock,$20.35,-0.11,-0.538%,1845301,11722411273.00,United States,2020,Food Chains,Consumer Staples,/market-activity/stocks/aci
ACIC,American Coastal Insurance Corporation Common Stock,$10.625,0.295,2.856%,216188,507869316.00,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/acic
ACIU,AC Immune SA Common Stock,$2.36,-0.02,-0.84%,316801,234106876.00,Switzerland,2016,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aciu
ACIW,ACI Worldwide Inc. Common Stock,$31.95,0.44,1.396%,720668,3399886276.00,United States,,EDP Services,Technology,/market-activity/stocks/aciw
ACLS,Axcelis Technologies Inc. Common Stock,$94.79,-3.46,-3.522%,709587,3092595790.00,United States,2000,Industrial Machinery/Components,Technology,/market-activity/stocks/acls
ACLX,Arcellx Inc. Common Stock,$51.65,-2.85,-5.229%,742730,2726945320.00,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aclx
ACM,AECOM Common Stock,$93.35,0.11,0.118%,535455,12697793818.00,United States,2007,Military/Government/Technical,Consumer Discretionary,/market-activity/stocks/acm
ACMR,ACM Research Inc. Class A Common Stock,$25.00,-2.405,-8.776%,1790618,1527375400.00,United States,2017,Industrial Machinery/Components,Technology,/market-activity/stocks/acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),$316.88,0.88,0.278%,3381538,199331367022.00,Ireland,2001,Business Services,Consumer Discretionary,/market-activity/stocks/acn
ACNB,ACNB Corporation Common Stock,$32.49,1.39,4.469%,16056,276337554.00,United States,,Major Banks,Finance,/market-activity/stocks/acnb
ACNT,Ascent Industries Co. Common Stock,$9.99,0.14,1.421%,578,101146562.00,United States,,Steel/Iron Ore,Industrials,/market-activity/stocks/acnt
ACON,Aclarion Inc. Common Stock,$0.2995,0.0026,0.876%,23038,164594.00,United States,2022,Retail: Computer Software & Peripheral Equipment,Technology,/market-activity/stocks/acon
ACONW,Aclarion Inc. Warrant,$0.026,0.003,13.043%,2054,14289.00,United States,2022,Retail: Computer Software & Peripheral Equipment,Technology,/market-activity/stocks/aconw
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.68,-0.04,-0.595%,471621,0.00,United States,2011,Investment Managers,Finance,/market-activity/stocks/acp
ACR,ACRES Commercial Realty Corp. Common Stock,$13.80,0.14,1.025%,12329,106927823.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acr
ACRE,Ares Commercial Real Estate Corporation Common Stock,$6.56,0.15,2.34%,484037,357012341.00,United States,2012,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acre
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.24,0.01,0.813%,579779,87947052.00,United States,2015,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acrs
ACRV,Acrivon Therapeutics Inc. Common Stock,$9.39,-1.15,-10.911%,627504,289887620.00,United States,2022, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/acrv
ACST,Acasti Pharma Inc. Class A Common Stock,$2.87,-0.2,-6.515%,19865,26976289.00,Canada,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acst
ACT,Enact Holdings Inc. Common Stock,$29.77,0.29,0.984%,207315,4736667755.00,United States,2021,Specialty Insurers,Finance,/market-activity/stocks/act
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$4.88,0.04,0.826%,121090,487489908.00,United States,,Multi-Sector Companies,Miscellaneous,/market-activity/stocks/actg
ACU,Acme United Corporation. Common Stock,$38.58,-4.43,-10.30%,24717,140631816.00,United States,1988,Industrial Machinery/Components,Consumer Discretionary,/market-activity/stocks/acu
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$21.92,0.03,0.137%,10277,227155952.00,United States,2015,Finance/Investors Services,Finance,/market-activity/stocks/acv
ACVA,ACV Auctions Inc. Class A Common Stock,$17.31,0.01,0.058%,631839,2836962782.00,United States,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acva
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$2.01,-0.12,-5.634%,93506,31671775.00,United States,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acxp
ADAG,Adagene Inc. American Depositary Shares,$2.64,0.0,0.00%,5364,145585015.00,China,2021,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adag
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.9767,0.0783,8.715%,1477319,241074052.00,United Kingdom,2015,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adap
ADBE,Adobe Inc. Common Stock,$465.02,-8.16,-1.725%,3280518,208328960000.00,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adbe
ADC,Agree Realty Corporation Common Stock,$56.56,0.73,1.308%,1186215,5685374719.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/adc
ADCT,ADC Therapeutics SA Common Shares,$4.72,-0.04,-0.84%,646030,389539471.00,,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adct
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$0.24,0.014,6.195%,366179,3885843.00,United States,,Engineering & Construction,Consumer Discretionary,/market-activity/stocks/add
ADEA,Adeia Inc. Common Stock,$9.94,0.21,2.158%,483114,1067803446.00,United States,2003,Semiconductors,Technology,/market-activity/stocks/adea
ADI,Analog Devices Inc. Common Stock,$183.36,-4.22,-2.25%,4081151,90929718384.00,United States,,Semiconductors,Technology,/market-activity/stocks/adi
ADIL,Adial Pharmaceuticals Inc Common Stock,$1.93,-0.24,-11.06%,310010,7825882.00,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adil
ADM,Archer-Daniels-Midland Company Common Stock,$62.60,0.88,1.426%,7986932,31916556978.00,United States,,Packaged Foods,Consumer Staples,/market-activity/stocks/adm
ADMA,ADMA Biologics Inc Common Stock,$6.27,0.07,1.129%,3411848,1430940880.00,United States,,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adma
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$0.1664,-0.0116,-6.517%,379767,10405197.00,United States,2018,Industrial Machinery/Components,Miscellaneous,/market-activity/stocks/adn
ADNT,Adient plc Ordinary Shares ,$28.83,0.81,2.891%,1054873,2630618115.00,United States,2016,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/adnt
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.013,-0.002,-13.333%,200750,812906.00,United States,2018,Industrial Machinery/Components,Miscellaneous,/market-activity/stocks/adnww
ADP,Automatic Data Processing Inc. Common Stock,$243.31,1.32,0.545%,1638700,99949452857.00,United States,,EDP Services,Technology,/market-activity/stocks/adp
ADPT,Adaptive Biotechnologies Corporation Common Stock,$2.40,0.065,2.784%,2341515,348221450.00,United States,2019,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adpt
ADRT,Ault Disruptive Technologies Corporation Common Stock,$12.69,0.0,0.00%,31,182418750.00,,2022,Blank Checks,Finance,/market-activity/stocks/adrt
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$10.80,0.0,0.00%,11226,527904000.00,Ireland,,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adse
ADSEW,ADS-TEC ENERGY PLC Warrant,$2.30,0.05,2.222%,3375,112417473.00,Ireland,,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adsew
ADSK,Autodesk Inc. Common Stock,$216.50,5.87,2.787%,3157479,46312667863.00,United States,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adsk
ADT,ADT Inc. Common Stock,$6.19,0.01,0.162%,3621197,5709128333.00,United States,2018,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/adt
ADTH,AdTheorent Holding Company Inc. Common Stock,$3.185,-0.005,-0.157%,709292,289530221.00,United States,2021,Advertising,Consumer Discretionary,/market-activity/stocks/adth
ADTHW,AdTheorent Holding Company Inc. Warrants,$0.4001,0.0001,0.025%,10348,36370814.00,United States,2021,Advertising,Consumer Discretionary,/market-activity/stocks/adthw
ADTN,ADTRAN Holdings Inc. Common Stock,$4.69,-0.04,-0.846%,666470,371053064.00,United States,1994,Telecommunications Equipment,Telecommunications,/market-activity/stocks/adtn
ADTX,Aditxt Inc. Common Stock,$2.35,-0.06,-2.49%,14682,3913253.00,United States,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adtx
ADUS,Addus HomeCare Corporation Common Stock,$97.19,0.03,0.031%,93878,1577126525.00,United States,2009,Medical/Nursing Services,Health Care,/market-activity/stocks/adus
ADV,Advantage Solutions Inc. Class A Common Stock,$4.33,0.07,1.643%,881278,1387448577.00,United States,2019,Business Services,Consumer Discretionary,/market-activity/stocks/adv
ADVM,Adverum Biotechnologies Inc. Common Stock,$11.34,0.19,1.704%,138898,235360736.00,United States,2014,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/advm
ADVWW,Advantage Solutions Inc. Warrant,$0.0909,0.0034,3.886%,2334,29126807.00,United States,2019,Business Services,Consumer Discretionary,/market-activity/stocks/advww
ADX,Adams Diversified Equity Fund Inc.,$18.39,-0.21,-1.129%,232671,0.00,United States,,Investment Managers,Finance,/market-activity/stocks/adx
ADXN,Addex Therapeutics Ltd American Depositary Shares,$20.05,-0.91,-4.342%,19537,15919038.00,Switzerland,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adxn
AE,Adams Resources & Energy Inc. Common Stock,$29.32,-0.2,-0.678%,2528,75254149.00,United States,1980,Oil Refining/Marketing,Energy,/market-activity/stocks/ae
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$11.19,0.0,0.00%,36,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aeae
AEE,Ameren Corporation Common Stock,$73.88,1.37,1.889%,1266327,19673421494.00,United States,,Power Generation,Utilities,/market-activity/stocks/aee
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$4.85,-0.02,-0.411%,22331,520708125.00,United States,,Finance/Investors Services,Finance,/market-activity/stocks/aef
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$20.96,0.14,0.672%,39624,0.00,United States,2019,,,/market-activity/stocks/aefc
AEG,Aegon Ltd. New York Registry Shares,$5.86,-0.03,-0.509%,3173414,12918288851.00,Netherlands,,Life Insurance,Finance,/market-activity/stocks/aeg
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$2.07,0.24,13.115%,355772,3723930.00,China,,Building Products,Consumer Discretionary,/market-activity/stocks/aehl
AEHR,Aehr Test Systems Common Stock,$10.36,-0.46,-4.251%,1158934,299556592.00,United States,1997,Electrical Products,Industrials,/market-activity/stocks/aehr
AEI,Alset Inc. Common Stock (TX),$0.6022,-0.0217,-3.478%,42885,5561389.00,United States,2020,Building operators,Real Estate,/market-activity/stocks/aei
AEIS,Advanced Energy Industries Inc. Common Stock,$89.70,-1.11,-1.222%,187987,3348034560.00,United States,1995,Industrial Machinery/Components,Technology,/market-activity/stocks/aeis
AEL,American Equity Investment Life Holding Company Common Stock,$55.40,0.26,0.472%,880707,4398760443.00,United States,2003,Life Insurance,Finance,/market-activity/stocks/ael
AEM,Agnico Eagle Mines Limited Common Stock,$63.84,0.37,0.583%,3633009,31852370649.00,Canada,,Precious Metals,Basic Materials,/market-activity/stocks/aem
AEMD,Aethlon Medical Inc. Common Stock,$1.46,0.045,3.18%,18443,3825783.00,United States,,Medical/Dental Instruments,Health Care,/market-activity/stocks/aemd
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,$2.14,0.0,0.00%,4252,108991848.00,United States,,Durable Goods,Consumer Discretionary,/market-activity/stocks/aent
AEO,American Eagle Outfitters Inc. Common Stock,$22.38,0.04,0.179%,3031465,4412363007.00,United States,,Clothing/Shoe/Accessory Stores,Consumer Discretionary,/market-activity/stocks/aeo
AEON,AEON Biopharma Inc. Class A Common Stock,$4.66,-1.88,-28.746%,108824,176096078.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aeon
AEP,American Electric Power Company Inc. Common Stock,$84.20,1.64,1.986%,5406113,44304742057.00,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/aep
AER,AerCap Holdings N.V. Ordinary Shares,$83.21,-0.53,-0.633%,1163151,16849456509.00,Netherlands,2006,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/aer
AERT,Aeries Technology Inc. Class A Ordinary Share,$2.11,-0.08,-3.653%,1409,32956101.00,United States,2021,Professional Services,Consumer Discretionary,/market-activity/stocks/aert
AES,The AES Corporation Common Stock,$16.40,0.13,0.799%,7100665,11648708161.00,United States,,Electric Utilities: Central,Utilities,/market-activity/stocks/aes
AESI,Atlas Energy Solutions Inc. Common Stock,$22.29,0.37,1.688%,796073,2229570267.00,United States,2023,Metal Fabrications,Industrials,/market-activity/stocks/aesi
AEVA,Aeva Technologies Inc. Common Stock,$3.11,0.01,0.323%,244927,164100441.00,United States,2020,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/aeva
AEYE,AudioEye Inc. Common Stock,$12.47,-0.54,-4.151%,168555,145841301.00,United States,,EDP Services,Technology,/market-activity/stocks/aeye
AEZS,Aeterna Zentaris Inc. Common Stock,$1.95,-0.0066,-0.337%,5030,9468958.00,Canada,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aezs
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,$11.20,0.05,0.448%,15461,0.00,Singapore,2022,Blank Checks,Finance,/market-activity/stocks/afar
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.47,0.01,0.096%,50441,0.00,United States,2002,Trusts Except Educational Religious and Charitable,Finance,/market-activity/stocks/afb
AFBI,Affinity Bancshares Inc. Common Stock (MD),$16.60,-0.15,-0.896%,6072,106516025.00,United States,2017,Major Banks,Finance,/market-activity/stocks/afbi
AFCG,AFC Gamma Inc. Common Stock,$11.65,0.26,2.283%,182015,240771645.00,United States,2021,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/afcg
AFG,American Financial Group Inc. Common Stock,$127.86,2.45,1.954%,207643,10696983811.00,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/afg
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$23.12,-0.05,-0.216%,4375,1934258296.00,United States,2019,Property-Casualty Insurers,Finance,/market-activity/stocks/afgb
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$20.83,0.07,0.337%,2980,1742673024.00,United States,2019,Property-Casualty Insurers,Finance,/market-activity/stocks/afgc
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$22.98,0.12,0.525%,2478,1922545659.00,United States,2020,Property-Casualty Insurers,Finance,/market-activity/stocks/afgd
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$18.43,0.1,0.546%,1830,1541884965.00,United States,2020,Property-Casualty Insurers,Finance,/market-activity/stocks/afge
AFIB,Acutus Medical Inc. Common Stock,$0.17,-0.0045,-2.579%,400623,5051714.00,United States,2020,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,/market-activity/stocks/afib
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,$10.27,0.0,0.00%,3,0.00,United States,2024,,,/market-activity/stocks/afjk
AFJKR,Aimei Health Technology Co. Ltd Right,$0.22,0.0,0.00%,12000,0.00,United States,2024,,,/market-activity/stocks/afjkr
AFJKU,Aimei Health Technology Co. Ltd Unit,$10.45,0.04,0.384%,102,0.00,United States,2023,,,/market-activity/stocks/afjku
AFL,AFLAC Incorporated Common Stock,$83.23,2.25,2.778%,6558434,48024403139.00,United States,,Accident &Health Insurance,Finance,/market-activity/stocks/afl
AFMD,Affimed N.V.,$5.15,0.08,1.578%,63710,78421434.00,Germany,2014,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/afmd
AFRI,Forafric Global PLC Ordinary Shares,$10.39,0.13,1.267%,3378,279283200.00,Gibraltar,,Packaged Foods,Consumer Staples,/market-activity/stocks/afri
AFRM,Affirm Holdings Inc. Class A Common Stock,$31.01,-0.14,-0.449%,5177312,9516166461.00,United States,2021,Business Services,Consumer Discretionary,/market-activity/stocks/afrm
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,$14.51,0.13,0.904%,103599,0.00,,2011,Investment Managers,Finance,/market-activity/stocks/aft
AFYA,Afya Limited Class A Common Shares,$16.02,-0.01,-0.062%,97636,1501439737.00,Brazil,2019,Other Consumer Services,Real Estate,/market-activity/stocks/afya
